,pid,fid,cid,provid,countyid,urban,intyear,genderm,birthyr,age,b_feed_mon,board_school,verbal,math,school_tut_hrs,comp_tut_hrs,hobby_tut_hrs,int_tut_hrs,parent_child_tut_hrs,other_tut_hrs,fam_member_tut_hrs1,fam_member_tut_hrs2,fam_member_tut_hrs3,fam_member_tut_hrs4,fam_member_tut_hrs5,fam_member_tut_hrs6,fam_member_tut_hrs7,fam_member_tut_hrs8,fam_member_tut_hrs9,fam_member_tut_hrs10,fam_member_tut_hrs11,fam_member_tut_hrs12,fam_member_tut_hrs31,pid_f,pid_m,fid_m,cid_m,provid_m,countyid_m,hhcode_m,urban_m,intyear_m,genderm_m,birthyr_m,age_m,hukou_m,ccp_m,ccp_year_m,marital_m,first_marriage_m,year_married_m,year_divorced_m,salary_m,fid_f,cid_f,provid_f,countyid_f,hhcode_f,urban_f,intyear_f,genderm_f,birthyr_f,age_f,hukou_f,ccp_f,ccp_year_f,marital_f,first_marriage_f,year_married_f,year_divorced_f,salary_f
3716,621004434.0,621004.0,-9.0,61.0,76.0,-9.0,,1.0,2009.0,7.0,12.0,1.0,1.0,2.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,3.0,-8.0,-8.0,-8.0,-8.0,,,-8.0,621004103.0,621004433.0,621004.0,-9.0,61.0,76.0,433.0,-9.0,2016.0,0.0,1984.0,32.0,1.0,0.0,,2.0,,,,,621004.0,796617.0,61.0,9979.0,103.0,1.0,2017.0,1.0,1978.0,39.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,5000.0
3727,621015552.0,621015.0,-9.0,62.0,146.0,-9.0,2018.0,0.0,2015.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,621015105.0,621015551.0,621015.0,,62.0,146.0,551.0,-9.0,2018.0,0.0,,22.0,,0.0,,,,,,,621015.0,,62.0,146.0,105.0,-9.0,2018.0,1.0,,22.0,,0.0,,,,,,
3717,621015552.0,621015.0,225500.0,62.0,146.0,0.0,,0.0,2015.0,1.0,4.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,621015105.0,621015551.0,621015.0,225500.0,62.0,146.0,551.0,0.0,2016.0,0.0,1996.0,20.0,-8.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,2000.0,621015.0,225500.0,62.0,146.0,105.0,0.0,2016.0,1.0,1996.0,20.0,1.0,0.0,-8.0,2.0,-8.0,2014.0,-8.0,2500.0
3718,621018106.0,621018.0,225500.0,62.0,146.0,0.0,2016.0,1.0,2005.0,11.0,-8.0,0.0,3.0,2.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,621018103.0,621018104.0,621018.0,225500.0,62.0,146.0,104.0,0.0,2016.0,0.0,1979.0,37.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,621018.0,225500.0,62.0,146.0,103.0,0.0,2016.0,1.0,1978.0,38.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
3728,621018106.0,621018.0,225500.0,62.0,146.0,0.0,2018.0,1.0,2005.0,13.0,12.0,0.0,-1.0,-1.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,,,,,,,,,621018103.0,621018104.0,621018.0,,,,104.0,-9.0,2018.0,0.0,,39.0,,-8.0,,,,,,,621018.0,,,,103.0,-9.0,2018.0,1.0,,40.0,,-8.0,,,,,,
3719,621019104.0,621019.0,225500.0,62.0,146.0,0.0,2016.0,1.0,2003.0,13.0,-8.0,0.0,2.0,2.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,621019101.0,621019102.0,621019.0,225500.0,62.0,146.0,102.0,0.0,2016.0,0.0,1978.0,38.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,621019.0,225500.0,62.0,146.0,101.0,0.0,2016.0,1.0,1977.0,39.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
3729,621019104.0,621019.0,225500.0,62.0,146.0,0.0,2018.0,1.0,2003.0,15.0,9.0,0.0,1.0,2.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,,,,,,,,,621019101.0,621019102.0,621019.0,225500.0,62.0,146.0,102.0,0.0,2018.0,0.0,-8.0,40.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,621019.0,225500.0,62.0,146.0,101.0,0.0,2019.0,1.0,-8.0,41.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
3720,621024105.0,621024.0,225500.0,62.0,146.0,0.0,2016.0,1.0,2005.0,11.0,-8.0,0.0,1.0,1.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,621024103.0,621024104.0,621024.0,225500.0,62.0,146.0,104.0,0.0,2016.0,0.0,1970.0,46.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,621024.0,225500.0,62.0,146.0,103.0,0.0,2016.0,1.0,1975.0,41.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
3730,621024105.0,621024.0,225500.0,62.0,146.0,0.0,2018.0,1.0,2005.0,13.0,12.0,0.0,1.0,1.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,,,,,,,,,621024103.0,621024104.0,621024.0,225500.0,62.0,146.0,104.0,0.0,2018.0,0.0,-8.0,48.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,621024.0,225500.0,62.0,146.0,103.0,0.0,2018.0,1.0,1975.0,43.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
3731,621024401.0,621024.0,225500.0,62.0,146.0,0.0,2018.0,1.0,2011.0,7.0,-8.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,,,,,,,,,621024103.0,621024104.0,621024.0,225500.0,62.0,146.0,104.0,0.0,2018.0,0.0,-8.0,48.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,621024.0,225500.0,62.0,146.0,103.0,0.0,2018.0,1.0,1975.0,43.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
