,pid,fid,cid,provid,countyid,urban,intyear,genderm,birthyr,age,b_feed_mon,board_school,verbal,math,school_tut_hrs,comp_tut_hrs,hobby_tut_hrs,int_tut_hrs,parent_child_tut_hrs,other_tut_hrs,fam_member_tut_hrs1,fam_member_tut_hrs2,fam_member_tut_hrs3,fam_member_tut_hrs4,fam_member_tut_hrs5,fam_member_tut_hrs6,fam_member_tut_hrs7,fam_member_tut_hrs8,fam_member_tut_hrs9,fam_member_tut_hrs10,fam_member_tut_hrs11,fam_member_tut_hrs12,fam_member_tut_hrs31,pid_f,pid_m,fid_m,cid_m,provid_m,countyid_m,hhcode_m,urban_m,intyear_m,genderm_m,birthyr_m,age_m,hukou_m,ccp_m,ccp_year_m,marital_m,first_marriage_m,year_married_m,year_divorced_m,salary_m,fid_f,cid_f,provid_f,countyid_f,hhcode_f,urban_f,intyear_f,genderm_f,birthyr_f,age_f,hukou_f,ccp_f,ccp_year_f,marital_f,first_marriage_f,year_married_f,year_divorced_f,salary_f
0,103924504.0,103924.0,286727.0,13.0,261.0,1.0,2018.0,1.0,2011.0,7.0,-8.0,0.0,-8.0,-8.0,-8.0,-8.0,5.0,-8.0,-8.0,-8.0,7.0,-8.0,-8.0,-8.0,-8.0,,,,,,,,,103924503.0,220098103.0,103924.0,286727.0,13.0,261.0,103.0,1.0,2018.0,0.0,-8.0,36.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,3800.0,103924.0,,,,503.0,-9.0,2018.0,1.0,,36.0,,-8.0,,,,,,
0,103924504.0,103924.0,142715.0,13.0,261.0,1.0,,1.0,2011.0,5.0,-8.0,0.0,-8.0,-8.0,-8.0,-8.0,8.0,-8.0,3.0,-8.0,-8.0,-8.0,-8.0,-8.0,2.0,-8.0,-8.0,-8.0,,,,,-8.0,103924503.0,220098103.0,103924.0,142715.0,13.0,261.0,103.0,1.0,2016.0,0.0,1982.0,34.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,103924.0,142715.0,13.0,261.0,503.0,1.0,2016.0,1.0,1982.0,34.0,1.0,1.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
1,108476552.0,108476.0,-9.0,37.0,1652.0,1.0,2018.0,1.0,2014.0,4.0,-8.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,0.5,-8.0,-8.0,-8.0,-8.0,,,,,,,,,108476551.0,370212103.0,108476.0,,37.0,1652.0,103.0,1.0,2018.0,0.0,1987.0,31.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,3100.0,108476.0,,37.0,1652.0,551.0,1.0,2018.0,1.0,-8.0,32.0,,-8.0,-8.0,2.0,-8.0,-8.0,-8.0,6000.0
1,108476552.0,108476.0,-9.0,37.0,7498.0,-9.0,,1.0,2014.0,3.0,6.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,,,,,-8.0,108476551.0,370212103.0,108476.0,796475.0,37.0,7498.0,103.0,0.0,2017.0,0.0,1987.0,30.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,3000.0,108476.0,796475.0,37.0,7498.0,551.0,0.0,2017.0,1.0,1986.0,31.0,-8.0,1.0,2016.0,2.0,1.0,2013.0,-8.0,5600.0
2,110026103.0,110026.0,118300.0,11.0,45.0,1.0,2016.0,1.0,2005.0,11.0,-8.0,0.0,1.0,1.0,2.0,-8.0,1.5,-8.0,-8.0,-8.0,3.0,6.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,110026102.0,110026101.0,110026.0,118300.0,11.0,45.0,101.0,1.0,2016.0,0.0,1977.0,39.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,110026.0,118300.0,11.0,45.0,102.0,1.0,2016.0,1.0,1973.0,43.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,15000.0
2,110026103.0,110026.0,118300.0,11.0,45.0,1.0,2018.0,1.0,2005.0,13.0,15.0,1.0,1.0,1.0,-8.0,-8.0,2.0,-8.0,-8.0,2.0,0.1,-8.0,-8.0,-8.0,-8.0,,,,,,,,,110026102.0,110026101.0,110026.0,118300.0,11.0,45.0,101.0,1.0,2018.0,0.0,-8.0,41.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,8000.0,110026.0,118300.0,11.0,45.0,102.0,1.0,2018.0,1.0,-8.0,45.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,15000.0
3,110047103.0,110047.0,118200.0,11.0,45.0,1.0,2016.0,1.0,2003.0,13.0,-8.0,0.0,1.0,1.0,5.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,110047101.0,110047102.0,110047.0,118200.0,11.0,45.0,102.0,1.0,2016.0,0.0,1977.0,39.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,110047.0,118200.0,11.0,45.0,101.0,1.0,2016.0,1.0,1956.0,60.0,1.0,1.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
3,110047103.0,110047.0,-9.0,43.0,1911.0,1.0,2018.0,1.0,2003.0,15.0,12.0,1.0,1.0,1.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,,,,,,,,,110047101.0,110047102.0,110047.0,,43.0,1911.0,102.0,1.0,2018.0,0.0,-8.0,41.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,110047.0,,43.0,1911.0,101.0,1.0,2018.0,1.0,-8.0,62.0,,-8.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
4,110051521.0,576080.0,-9.0,11.0,170.0,1.0,2018.0,1.0,2013.0,5.0,-8.0,0.0,-8.0,-8.0,-8.0,-8.0,2.5,-8.0,-8.0,-8.0,7.0,7.0,-8.0,-8.0,-8.0,,,,,,,,,159466501.0,110051104.0,576080.0,,11.0,170.0,104.0,1.0,2018.0,0.0,1986.0,32.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,3500.0,576080.0,,11.0,170.0,501.0,1.0,2018.0,1.0,-8.0,33.0,,-8.0,-8.0,2.0,-8.0,-8.0,-8.0,8000.0
4,110051521.0,159466.0,529746.0,11.0,170.0,1.0,,1.0,2013.0,3.0,-8.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,159466501.0,110051104.0,159466.0,529746.0,11.0,170.0,104.0,1.0,2016.0,0.0,1986.0,30.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,159466.0,529746.0,11.0,170.0,501.0,1.0,2016.0,1.0,1985.0,31.0,1.0,1.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
5,110052501.0,110052.0,118200.0,11.0,45.0,1.0,2018.0,1.0,2014.0,4.0,-8.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,10.5,-8.0,-8.0,-8.0,-8.0,-8.0,,,,,,,,,110052104.0,110052431.0,110052.0,118200.0,11.0,45.0,431.0,1.0,2018.0,0.0,-8.0,30.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-9.0,110052.0,118200.0,11.0,45.0,104.0,1.0,2018.0,1.0,-8.0,32.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-9.0
5,110052501.0,110052.0,118200.0,11.0,45.0,1.0,,1.0,2014.0,2.0,19.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,110052104.0,110052431.0,110052.0,118200.0,11.0,45.0,431.0,1.0,2016.0,0.0,1988.0,28.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,2700.0,110052.0,118200.0,11.0,45.0,104.0,1.0,2016.0,1.0,1986.0,30.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
6,110083401.0,110083.0,118200.0,11.0,45.0,1.0,2018.0,0.0,2011.0,7.0,-8.0,0.0,2.0,2.0,-8.0,-8.0,-8.0,-8.0,-8.0,4.0,15.0,-8.0,-8.0,-8.0,-8.0,,,,,,,,,110083103.0,110083104.0,110083.0,118200.0,11.0,45.0,104.0,1.0,2018.0,0.0,-8.0,39.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,110083.0,118200.0,11.0,45.0,103.0,1.0,2018.0,1.0,-8.0,40.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-9.0
6,110083401.0,110083.0,118200.0,11.0,45.0,1.0,,0.0,2011.0,5.0,18.0,0.0,-8.0,-8.0,-8.0,-8.0,1.5,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,110083103.0,110083104.0,110083.0,118200.0,11.0,45.0,104.0,1.0,2016.0,0.0,1979.0,37.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,110083.0,118200.0,11.0,45.0,103.0,1.0,2016.0,1.0,1978.0,38.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
7,110108551.0,110108.0,118400.0,11.0,45.0,1.0,2018.0,0.0,2012.0,6.0,-8.0,0.0,1.0,1.0,2.0,-8.0,2.0,-8.0,-8.0,-8.0,1.0,-8.0,-8.0,-8.0,-8.0,,,,,,,,,110108103.0,110108104.0,110108.0,118400.0,11.0,45.0,104.0,1.0,2018.0,0.0,-8.0,34.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,110108.0,118400.0,11.0,45.0,103.0,1.0,2018.0,1.0,-8.0,35.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,5000.0
7,110108551.0,110108.0,-9.0,11.0,45.0,1.0,,0.0,2012.0,4.0,24.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,,,,,-8.0,110108103.0,110108104.0,110108.0,118400.0,11.0,45.0,104.0,1.0,2016.0,0.0,1984.0,32.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,8000.0,110108.0,118400.0,11.0,45.0,103.0,1.0,2016.0,1.0,1983.0,33.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
8,110124401.0,110124.0,118400.0,11.0,45.0,1.0,2018.0,0.0,2011.0,7.0,-8.0,0.0,1.0,3.0,2.0,-8.0,2.0,-8.0,-8.0,2.0,1.0,7.0,-8.0,-8.0,-8.0,,,,,,,,,110124101.0,110124102.0,110124.0,118400.0,11.0,45.0,102.0,1.0,2018.0,0.0,-8.0,34.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,5000.0,110124.0,118400.0,11.0,45.0,101.0,1.0,2018.0,1.0,-8.0,38.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,10000.0
8,110124401.0,110124.0,118400.0,11.0,45.0,1.0,,0.0,2011.0,6.0,-8.0,0.0,-8.0,-8.0,1.5,-8.0,3.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,,,,,-8.0,110124101.0,110124102.0,110124.0,118400.0,11.0,45.0,102.0,1.0,2017.0,0.0,1984.0,33.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,6000.0,110124.0,118400.0,11.0,45.0,101.0,1.0,2017.0,1.0,1980.0,37.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
9,110689551.0,110689.0,337263.0,43.0,32.0,1.0,2018.0,1.0,2012.0,6.0,-8.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,3.0,2.0,-8.0,-8.0,-8.0,,,,,,,,,430390104.0,430390101.0,110689.0,337263.0,43.0,32.0,101.0,1.0,2018.0,0.0,-8.0,34.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,2000.0,110689.0,337263.0,43.0,32.0,104.0,1.0,2018.0,1.0,-8.0,37.0,,-8.0,-8.0,2.0,-8.0,-8.0,-8.0,2800.0
9,110689551.0,110689.0,337263.0,43.0,32.0,1.0,,1.0,2012.0,4.0,0.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,0.5,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,430390104.0,430390101.0,110689.0,337263.0,43.0,32.0,101.0,1.0,2016.0,0.0,1984.0,32.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,110689.0,337263.0,43.0,32.0,104.0,1.0,2016.0,1.0,1981.0,35.0,1.0,1.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
11,110717502.0,110717.0,228049.0,41.0,102.0,1.0,2018.0,1.0,2013.0,5.0,-8.0,1.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,3.0,4.0,-8.0,-8.0,-8.0,,,,,,,,,110717501.0,411572105.0,110717.0,228049.0,41.0,102.0,105.0,1.0,2018.0,0.0,-8.0,37.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,110717.0,228049.0,41.0,102.0,501.0,1.0,2019.0,1.0,-8.0,39.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
11,110717502.0,110717.0,228049.0,41.0,102.0,1.0,,1.0,2013.0,3.0,16.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,110717501.0,411572105.0,110717.0,228049.0,41.0,102.0,105.0,1.0,2016.0,0.0,1981.0,35.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,110717.0,228049.0,41.0,102.0,501.0,1.0,2016.0,1.0,1979.0,37.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
12,111230552.0,111230.0,213900.0,44.0,117.0,0.0,2018.0,0.0,2016.0,2.0,2.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,,,,,,,,,111230551.0,440460103.0,111230.0,213900.0,44.0,117.0,103.0,0.0,2018.0,0.0,1993.0,25.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,3800.0,111230.0,213900.0,44.0,117.0,551.0,0.0,2018.0,1.0,-8.0,28.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,8000.0
12,111230552.0,111230.0,213900.0,44.0,117.0,0.0,,0.0,2016.0,1.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,,,,,-8.0,111230551.0,440460103.0,111230.0,213900.0,44.0,117.0,103.0,0.0,2017.0,0.0,1993.0,24.0,1.0,0.0,-8.0,2.0,-8.0,2011.0,-8.0,-8.0,111230.0,213900.0,44.0,117.0,551.0,0.0,2017.0,1.0,1990.0,27.0,-8.0,0.0,-8.0,2.0,1.0,2011.0,-8.0,-8.0
14,113205552.0,113205.0,117600.0,51.0,43.0,0.0,2018.0,0.0,2012.0,6.0,-8.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,14.0,-8.0,-8.0,-8.0,-8.0,,,,,,,,,510432101.0,510432104.0,113205.0,117600.0,51.0,43.0,104.0,0.0,2018.0,0.0,1991.0,27.0,,-8.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,113205.0,117600.0,51.0,43.0,101.0,0.0,2018.0,1.0,-8.0,29.0,,-8.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
14,113205552.0,113205.0,117600.0,51.0,43.0,0.0,,0.0,2012.0,4.0,12.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,,,,,-8.0,510432101.0,510432104.0,113205.0,117600.0,51.0,43.0,104.0,0.0,2017.0,0.0,1990.0,27.0,1.0,1.0,-8.0,2.0,-8.0,2008.0,-8.0,-8.0,113205.0,117600.0,51.0,43.0,101.0,0.0,2016.0,1.0,1989.0,27.0,1.0,1.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
15,113205553.0,113205.0,117600.0,51.0,43.0,0.0,2018.0,1.0,2014.0,4.0,-8.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,,,,,,,,,510432101.0,510432104.0,113205.0,117600.0,51.0,43.0,104.0,0.0,2018.0,0.0,1991.0,27.0,,-8.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,113205.0,117600.0,51.0,43.0,101.0,0.0,2018.0,1.0,-8.0,29.0,,-8.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
15,113205553.0,113205.0,117600.0,51.0,43.0,0.0,,1.0,2014.0,2.0,12.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,,,,,-8.0,510432101.0,510432104.0,113205.0,117600.0,51.0,43.0,104.0,0.0,2017.0,0.0,1990.0,27.0,1.0,1.0,-8.0,2.0,-8.0,2008.0,-8.0,-8.0,113205.0,117600.0,51.0,43.0,101.0,0.0,2016.0,1.0,1989.0,27.0,1.0,1.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
18,114614552.0,114614.0,-9.0,61.0,77.0,1.0,2018.0,1.0,2010.0,8.0,-8.0,0.0,3.0,1.0,-8.0,-8.0,2.0,-8.0,-8.0,-8.0,10.0,-8.0,-8.0,-8.0,-8.0,,,,,,,,,255183502.0,610084104.0,114614.0,,61.0,77.0,104.0,1.0,2018.0,0.0,-8.0,31.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,2000.0,114614.0,,61.0,77.0,502.0,1.0,2018.0,1.0,-8.0,39.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,5000.0
18,114614552.0,114614.0,131000.0,61.0,77.0,0.0,,1.0,2010.0,7.0,3.0,0.0,2.0,2.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,10.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,,,,,-8.0,255183502.0,610084104.0,114614.0,131000.0,61.0,77.0,104.0,0.0,2017.0,0.0,1987.0,30.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,1500.0,114614.0,131000.0,61.0,77.0,502.0,0.0,2017.0,1.0,1979.0,38.0,-8.0,0.0,-8.0,2.0,1.0,2008.0,-8.0,5000.0
19,115395552.0,115395.0,795683.0,52.0,23.0,0.0,2018.0,0.0,2016.0,2.0,12.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,,,,,,,,,520197103.0,115395551.0,115395.0,795683.0,52.0,23.0,551.0,0.0,2018.0,0.0,-8.0,30.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,115395.0,795683.0,52.0,23.0,103.0,0.0,2019.0,1.0,-8.0,29.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
19,115395552.0,115395.0,795683.0,52.0,23.0,0.0,,0.0,2016.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,520197103.0,115395551.0,115395.0,795683.0,52.0,23.0,551.0,0.0,2016.0,0.0,1988.0,28.0,-8.0,0.0,-8.0,2.0,1.0,2013.0,-8.0,-8.0,115395.0,795683.0,52.0,23.0,103.0,0.0,2016.0,1.0,1989.0,27.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
21,115788431.0,115788.0,168159.0,32.0,11.0,0.0,2018.0,0.0,2012.0,6.0,-8.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,3.0,-8.0,-8.0,-8.0,-8.0,,,,,,,,,115788432.0,320195106.0,115788.0,168159.0,32.0,11.0,106.0,0.0,2018.0,0.0,1986.0,32.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,700.0,115788.0,795858.0,32.0,11.0,432.0,1.0,2019.0,1.0,-8.0,32.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,8000.0
21,115788431.0,115788.0,795858.0,32.0,11.0,1.0,,0.0,2012.0,4.0,-8.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,115788432.0,320195106.0,115788.0,795858.0,32.0,11.0,106.0,1.0,2016.0,0.0,1986.0,30.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,115788.0,795858.0,32.0,11.0,432.0,1.0,2016.0,1.0,1986.0,30.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
22,115788551.0,115788.0,168159.0,32.0,11.0,0.0,2018.0,1.0,2014.0,4.0,-8.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,,,,,,,,,115788432.0,320195106.0,115788.0,168159.0,32.0,11.0,106.0,0.0,2018.0,0.0,1986.0,32.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,700.0,115788.0,795858.0,32.0,11.0,432.0,1.0,2019.0,1.0,-8.0,32.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,8000.0
22,115788551.0,115788.0,795858.0,32.0,11.0,1.0,,1.0,2014.0,2.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,115788432.0,320195106.0,115788.0,795858.0,32.0,11.0,106.0,1.0,2016.0,0.0,1986.0,30.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,115788.0,795858.0,32.0,11.0,432.0,1.0,2016.0,1.0,1986.0,30.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
23,115961502.0,115961.0,344255.0,53.0,2591.0,1.0,2018.0,1.0,2012.0,6.0,-8.0,0.0,-8.0,-8.0,-8.0,7.5,7.5,-8.0,-8.0,-8.0,9.0,-8.0,-8.0,-8.0,-8.0,,,,,,,,,530179103.0,115961501.0,115961.0,344255.0,53.0,2591.0,501.0,1.0,2018.0,0.0,-8.0,32.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,115961.0,344255.0,53.0,2591.0,103.0,1.0,2018.0,1.0,-8.0,32.0,,-8.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
23,115961502.0,115961.0,344255.0,53.0,2591.0,1.0,,1.0,2012.0,4.0,12.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,,,,,-8.0,530179103.0,115961501.0,115961.0,344255.0,53.0,2591.0,501.0,1.0,2016.0,0.0,1986.0,30.0,0.0,0.0,-8.0,2.0,1.0,2010.0,-8.0,-8.0,115961.0,344255.0,53.0,2591.0,103.0,1.0,2016.0,1.0,1986.0,30.0,0.0,1.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
24,115986551.0,115986.0,414362.0,53.0,2625.0,1.0,2018.0,1.0,2015.0,3.0,14.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,,,,,,,,,115986501.0,530207103.0,115986.0,414362.0,53.0,2625.0,103.0,1.0,2018.0,0.0,-8.0,26.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,2500.0,115986.0,414362.0,53.0,2625.0,501.0,1.0,2018.0,1.0,-8.0,28.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,2900.0
24,115986551.0,115986.0,414362.0,53.0,2625.0,1.0,,1.0,2015.0,1.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,115986501.0,530207103.0,115986.0,414362.0,53.0,2625.0,103.0,1.0,2016.0,0.0,1992.0,24.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,2700.0,115986.0,414362.0,53.0,2625.0,501.0,1.0,2016.0,1.0,1990.0,26.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,2700.0
26,117163502.0,117163.0,990945.0,62.0,142.0,1.0,2018.0,1.0,2012.0,6.0,-8.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,14.0,-8.0,-8.0,-8.0,-8.0,,,,,,,,,620457103.0,620457431.0,117163.0,990945.0,62.0,142.0,431.0,1.0,2018.0,0.0,-8.0,27.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,117163.0,990945.0,62.0,142.0,103.0,1.0,2018.0,1.0,1987.0,31.0,,-8.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
26,117163502.0,117163.0,224000.0,62.0,142.0,0.0,,1.0,2012.0,4.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,620457103.0,620457431.0,117163.0,224000.0,62.0,142.0,431.0,0.0,2016.0,0.0,1991.0,25.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,117163.0,224000.0,62.0,142.0,103.0,0.0,2016.0,1.0,1987.0,29.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
27,118065501.0,621352.0,795578.0,62.0,141.0,1.0,2018.0,0.0,2014.0,4.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,,,,,,,,,621352102.0,621352104.0,621352.0,,44.0,,104.0,-9.0,2018.0,0.0,,35.0,,0.0,,,,,,,621352.0,,44.0,,102.0,-9.0,2018.0,1.0,,39.0,,0.0,,,,,,
